,quantity,slug,_id,name,price,sellerId,selectedVariation.color.name,selectedVariation.color.hex,selectedVariation.images,selectedVariation._id,selectedVariation.size,selectedVariation.stockTecidos,selectedVariation.tecidos._id,selectedVariation.tecidos.tecidosImages,selectedVariation.tecidos.name,associatedProduct,createdAt
934,1,macacao-ventana,5cdbfbcea4218d001705e188,Macacão Ventana,19900,5caf95599eebb200176e2999,Amarelo,#FFBE00,"['products/161231369610214-enika.jpg', 'products/161231369673115-enika.jpg', 'products/161231369689316-enika.jpg', 'products/161231369704517-enika.jpg', 'products/161231369718918-enika.jpg', 'products/161231369736719-enika.jpg', 'products/161231369748920-enika.jpg']",6019f45f269af00017686da8,G,False,,,,,2021-08-29 23:24:42.399000+00:00
935,1,macacao-chiara-em-linho,614c6565b7ba7700185f4bab,Macacão Chiara em Linho,22800,5caf95599eebb200176e2999,Rosa,#EB9F9F,"['products/16323966464951-enika.jpg', 'products/16323966471982-enika.jpg', 'products/16323966474143-enika.jpg', 'products/16323966475284-enika.jpg', 'products/16323966476115-enika.jpg', 'products/16323966476976-enika.jpg']",614c6565b7ba7700185f4bac,P,True,607d91e36d347d00176abc81,tecidos/16188420834471-enika.jpg,LINHO Rose,,2021-09-28 16:45:21.205000+00:00
936,1,camisa-oversized,5da77b7d035b1a00172b3b94,Camisa Oversized,17800,5caf95599eebb200176e2999,Branco,#FFFFFF,"['products/16152358106482-enika.jpg', 'products/16152358114533-enika.jpg', 'products/16152358116274-enika.jpg', 'products/16152358121595-enika.jpg', 'products/16152358126536-enika.jpg', 'products/16152358129937-enika.jpg', 'products/16152358134918-enika.jpg']",60468ae2f695430017b4bb2f,M,True,5fc7abfc588c8d00175e065b,tecidos/160692121279249-enika.jpg,Linho Branco,,2021-10-05 12:57:15.456000+00:00
937,1,vestido-torcido-eco,5dc076c31e48e00017b003da,Vestido Torcido ECO,24200,5caf95599eebb200176e2999,Cinza,#727780,"['products/157909544433641-vestidobltorcidaazul1.jpg', 'products/157909544848742-vestidobltorcidaazul.jpg', 'products/157909545092343-vestidobltorcidaazul2.jpg', 'products/157909545346044-vestidobltorcidaazul3.jpg', 'products/157909545591945-vestidobltorcidaazul4.jpg']",5e1f1593d0ae4900176fb451,P,False,,,,,2021-09-14 13:56:32.764000+00:00
938,1,blusa-ribs,6132814ddbe66200180346f1,Blusa Ribs,8900,5caf95599eebb200176e2999,Bordo,#740F0F,"['products/16306998545391-enika.jpg', 'products/16306998547002-enika.jpg', 'products/16306998548803-enika.jpg', 'products/16306998550374-enika.jpg', 'products/16306998550665-enika.jpg', 'products/16306998550786-enika.jpg']",6132814ddbe66200180346f2,P,False,,,,,2021-09-14 13:56:32.764000+00:00
939,1,blazer-kaya,60c36773151a7e00173e11c9,Blazer Kaya,23900,5caf95599eebb200176e2999,Branco,#FFFFFF,"['products/16274841962056-enika.jpg', 'products/16274841973727-enika.jpg', 'products/16274842000068-enika.jpg', 'products/16274842015109-enika.jpg', 'products/162748420316810-enika.jpg', 'products/162748420402511-enika.jpg']",60c38841151a7e00173e17db,P,False,,,,,2021-09-14 13:56:32.764000+00:00
940,1,short-comphy-em-linho,61409be423709700183745b4,Short Comphy em Linho,15800,5caf95599eebb200176e2999,Bordo,#972638,['products/163162422489111-enika.jpeg'],61409c2023709700183745cd,P,False,,,,,2021-09-14 13:56:32.764000+00:00
941,1,short-comphy-em-linho,61409be423709700183745b4,Short Comphy em Linho,15800,5caf95599eebb200176e2999,Preto,#000000,"['products/163162573188814-enika.jpeg', 'products/163162573205715-enika.jpeg']",6140a20323709700183745f8,P,False,,,,,2021-09-14 13:56:32.764000+00:00
942,1,blusa-basika,60f076bdcd03ed00176df005,Blusa Basika,9800,5caf95599eebb200176e2999,Natural,#F7F0CF,"['products/16263717736231-enika.jpg', 'products/16263717745062-enika.jpg', 'products/16263717764903-enika.jpg', 'products/16263717805474-enika.jpg', 'products/16263717847915-enika.jpg', 'products/16263717863826-enika.jpg']",60f076bdcd03ed00176df006,PP,False,,,,,2021-07-24 17:48:53.128000+00:00
943,1,macacao-quatro,5f57fde7380b6c0017446dfc,Macacão Quatro,19600,5caf95599eebb200176e2999,Preto,#000000,"['products/16304206510284-enika.jpg', 'products/16304206513795-enika.jpg', 'products/16304206513946-enika.jpg', 'products/16304206515557-enika.jpg', 'products/16304206515688-enika.jpg', 'products/16304206515779-enika.jpg']",612e3eaa715f400018bf25c9,M,False,,,,,2021-09-16 20:12:56.382000+00:00
944,1,conjunto-jogger,5fbaa88627ff210017b6d990,Conjunto Jogger Bee,30900,5caf95599eebb200176e2999,Azul,#243965,"['products/161160699371414-enika.jpg', 'products/161160699445415-enika.jpg', 'products/161160699488716-enika.jpg', 'products/161160699526517-enika.jpg', 'products/161160699565718-enika.jpg', 'products/161160699604819-enika.jpg', 'products/161160699641420-enika.jpg']",5fbaa88627ff210017b6d991,M,True,5ff75a288e16630017b81e29,tecidos/16100459936782-enika.jpg,Estampa Bee,,2021-10-15 12:40:29.225000+00:00
945,1,macacao-saruel-eco,5da7942f035b1a00172b3c9f,Macacão Saruel ECO,21500,5caf95599eebb200176e2999,Azul,#9DDDEF,"['products/157909451286435-mcsaruelturquesa4.jpg', 'products/157909451568036-mcsaruelturquesa.jpg', 'products/157909451821337-mcsaruelturquesa1.jpg', 'products/157909452069738-mcsaruelturquesa2.jpg', 'products/157909452322539-mcsaruelturquesa3.jpg', 'products/157909452571240-mcsaruelturquesa5.jpg']",5e1f11f0d0ae4900176fb417,M,False,,,,,2021-09-19 00:47:07.490000+00:00
